,Player,Team,Role,Matches played,Innings ,Not outs,Balls played,Runs scored,Batting Avg.,Batting Strike Rate,50+ Scores,100+ Scores,Wickets,Bowling innings,Balls bowled,Overs Bowled,Runs Conceded,BOWLING Economy,Bowling Avg.,Bowling Strike rate,4W,5W
0,Virat Kohli,RCB,Batsman,15,15,3,454,657,54.75,144.7136563876652,6,0,0,0,0.0,0.0,0,,,,0,0
1,Phil Salt ,RCB,Batsman,13,13,1,229,403,33.583333333333336,175.9825327510917,8,0,0,0,0.0,0.0,0,,,,0,0
2,Mayank Agrawal,RCB,Batsman,4,4,1,64,95,31.666666666666668,148.4375,4,0,0,0,0.0,0.0,0,,,,0,0
3,Rajat Patidar©,RCB,Batsman,15,14,1,217,312,24.0,143.77880184331798,0,0,0,0,0.0,0.0,0,,,,0,0
4,Tim David,RCB,Batsman,12,9,6,101,187,62.333333333333336,185.14851485148515,2,0,0,0,0.0,0.0,0,,,,0,0
5,Jitesh Sharma,RCB,Wicket keeper,15,11,4,148,261,37.285714285714285,176.35135135135135,1,0,0,0,0.0,0.0,0,,,,0,0
6,Romario Shepherd,RCB,All Rounder,8,3,1,24,70,35.0,291.66666666666663,1,0,6,8,84.0,14.0,151,10.785714285714286,25.166666666666668,14.0,0,0
7,Krunal Pandya,RCB,All Rounder,15,7,1,86,109,18.166666666666668,126.74418604651164,1,0,17,15,276.0,46.0,379,8.23913043478261,22.294117647058822,16.235294117647058,1,0
8,Bhuvneshwar Kumar,RCB,Bowler,14,6,3,25,14,4.666666666666667,56.00000000000001,1,0,17,14,312.0,52.0,483,9.288461538461538,28.41176470588235,18.352941176470587,0,0
9,Yash Dayal,RCB,Bowler,15,3,1,8,4,2.0,50.0,0,0,13,15,294.0,49.0,470,9.591836734693878,36.15384615384615,22.615384615384617,0,0
10,Hazlewood,RCB,Bowler,12,0,0,0,0,,,0,0,22,12,264.0,44.0,386,8.772727272727273,17.545454545454547,12.0,1,0
11,Sai Sudharshan,GT,Batsman,15,15,1,486,759,54.21428571428572,156.17283950617283,6,1,0,0,0.0,0.0,0,,,,0,0
12,Shubhman Gill,GT,Batsman,15,15,2,417,650,50.0,155.8752997601919,6,0,0,0,0.0,0.0,0,,,,0,0
13,Josh Buttler ,GT,Wicket keeper,14,13,4,330,538,59.77777777777778,163.03030303030303,5,0,0,0,0.0,0.0,0,,,,0,0
14,Sherfane Rutherford,GT,Batsman,13,13,2,185,291,26.454545454545453,157.2972972972973,0,0,0,0,0.0,0.0,0,,,,0,0
15,Sharukh Khan,GT,Batsman,15,11,5,100,179,29.83333333333333,179.0,1,0,0,0,0.0,0.0,0,,,,0,0
16,Rahul Tewatia,GT,Batsman,15,12,4,59,99,12.375,167.79661016949152,0,0,0,0,0.0,0.0,0,,,,0,0
17,Rashid Khan ,GT,All Rounder,15,8,3,28,40,8.0,142.85714285714286,0,0,9,15,330.0,55.0,514,9.345454545454546,57.11111111111112,36.66666666666666,0,0
18,Arshad Khan,GT,Bowler,9,5,3,19,23,11.5,121.05263157894736,0,0,6,9,126.0,21.0,217,10.333333333333334,36.16666666666666,21.0,0,0
19,R Sai Kishore,GT,Bowler,15,3,0,10,5,1.6666666666666667,50.0,0,0,19,15,255.0,42.3,393,9.247058823529413,20.68421052631579,13.421052631578943,0,0
20,Prasidh Krishna,GT,Bowler,15,0,0,0,0,,,0,0,25,15,354.0,59.0,488,8.271186440677965,19.52,14.16,1,0
21,Mohd Siraj,GT,Bowler,15,0,0,0,0,,,0,0,16,15,342.0,57.0,527,9.24561403508772,32.9375,21.375,1,0
22,Ryan Rickelton  (wk),MI,Wicket keeper,14,14,1,257,388,29.846153846153847,150.9727626459144,3,0,0,0,0.0,0.0,0,,,,0,0
23,Rohit Sharma,MI,Batsman,15,15,1,280,418,29.857142857142858,149.28571428571428,4,0,0,0,0.0,0.0,0,,,,0,0
24,Tilak Varma,MI,Batsman,16,13,2,248,343,31.181818181818183,138.30645161290323,2,0,0,0,0.0,0.0,0,,,,0,0
25,Suryakumar Yadav,MI,Batsman,16,16,5,427,717,65.18181818181819,167.91569086651054,5,0,0,0,0.0,0.0,0,,,,0,0
26,Hardik Pandya,MI,All Rounder,15,12,3,137,224,24.88888888888889,163.5036496350365,0,0,14,14,210.0,35.0,342,9.771428571428572,24.428571428571427,15.0,0,1
27,Naman Dhir,MI,Batsman,16,12,4,138,252,31.5,182.6086956521739,0,0,0,0,0.0,0.0,0,,,,0,0
28,Jonny Bairstow,MI,Batsman,2,2,0,46,85,42.5,184.7826086956522,0,0,0,0,0.0,0.0,0,,,,0,0
29,Mitchell Santner ,MI,All Rounder,13,8,6,33,40,20.0,121.21212121212122,0,0,10,13,237.0,39.3,313,7.924050632911394,31.3,23.7,0,0
30,Deepak Chahar,MI,Bowler,14,4,3,25,37,37.0,148.0,0,0,11,14,246.0,41.0,376,9.170731707317072,34.18181818181818,22.363636363636363,0,0
31,Trent Boult ,MI,Bowler,16,2,1,3,2,2.0,66.66666666666666,0,0,22,16,346.0,57.4,517,8.965317919075146,23.5,15.727272727272728,1,0
32,Jasprit Bumrah,MI,Bowler,12,0,1,0,0,0.0,,0,0,18,12,284.0,47.2,316,6.676056338028169,17.555555555555557,15.77777777777778,1,0
33,Prabhsimran Singh,PBKS,Wicket keeper,17,17,0,342,549,32.294117647058826,160.5263157894737,4,0,0,0,0.0,0.0,0,,,,0,0
34,Priyansh Arya,PBKS,Batsman,17,17,0,265,475,27.94117647058824,179.24528301886792,2,1,0,0,0.0,0.0,0,,,,0,0
35,Josh Inglish ,PBKS,Batsman,11,11,2,171,278,30.88888888888889,162.5730994152047,1,0,0,0,0.0,0.0,0,,,,0,0
36,Shreyash Iyer,PBKS,Batsman,17,17,5,345,604,50.333333333333336,175.07246376811594,6,0,0,0,0.0,0.0,0,,,,0,0
37,Nehal Wadhera,PBKS,Batsman,16,15,3,253,369,30.75,145.8498023715415,2,0,0,0,0.0,0.0,0,,,,0,0
38,Shashank Singh,PBKS,Batsman,17,14,7,228,350,50.0,153.50877192982458,3,0,0,0,0.0,0.0,0,,,,0,0
39,Azmatullah Omarzai ,PBKS,All Rounder,9,5,1,41,57,14.25,139.02439024390242,0,0,8,8,162.0,27.0,279,10.333333333333334,34.875,20.25,0,0
40,Marco Jansen ,PBKS,All Rounder,14,8,4,63,75,18.75,119.04761904761904,0,0,16,14,283.0,47.1,434,9.201413427561835,27.125,17.6875,0,0
41,Harpreet Brar,PBKS,Bowler,8,2,1,13,11,11.0,84.61538461538461,0,0,10,7,132.0,22.0,190,8.636363636363637,19.0,13.2,0,0
42,Yuzendra Chahal,PBKS,Bowler,14,0,0,0,0,,,0,0,16,13,270.0,45.0,430,9.555555555555555,26.875,16.875,2,0
43,Arshdeep Singh,PBKS,Bowler,17,2,1,6,2,2.0,33.33333333333333,0,0,21,16,350.0,58.2,518,8.879999999999999,24.666666666666668,16.666666666666668,0,0
