,Sr no.,Player,Team,Role,Matches,Innings,NotOuts,BallsPlayed,RunsScored,BatAvg,BatSR,50+ Scores,100+ Scores,Wickets,BowlInnings,BallsBowled,OversBowled,RunsConceded,BowlEco,BowlAvg,BowlSR,4W,5W,Price,ROI
0,0,Virat Kohli,RCB,Batsman,15,15,3,454,657,54.75,144.71,6,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,21.0,49.46
1,1,Phil Salt ,RCB,Batsman,13,13,1,229,403,33.58,175.98,8,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,11.0,84.51
2,2,Mayank Agrawal,RCB,Batsman,4,4,1,64,95,31.67,148.44,4,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,2.0,59.51
3,3,Rajat Patidar©,RCB,Batsman,15,14,1,217,312,24.0,143.78,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,11.0,-0.11
4,4,Tim David,RCB,Batsman,12,9,6,101,187,62.33,185.15,2,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,3.0,46.08
5,5,Jitesh Sharma,RCB,Wicket keeper,15,11,4,148,261,37.29,176.35,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,11.0,1.47
6,6,Romario Shepherd,RCB,All Rounder,8,3,1,24,70,35.0,291.67,1,0,6,8,84,14.0,151,10.79,25.17,14.0,0,0,1.5,63.1
7,7,Krunal Pandya,RCB,All Rounder,15,7,1,86,109,18.17,126.74,1,0,17,15,276,46.0,379,8.24,22.29,16.24,1,0,5.75,73.54
8,8,Bhuvneshwar Kumar,RCB,Bowler,14,6,3,25,14,4.67,56.0,1,0,17,14,312,52.0,483,9.29,28.41,18.35,0,0,10.75,19.69
9,9,Yash Dayal,RCB,Bowler,15,3,1,8,4,2.0,50.0,0,0,13,15,294,49.0,470,9.59,36.15,22.62,0,0,5.0,20.69
10,10,Hazlewood,RCB,Bowler,12,0,0,0,0,0.0,0.0,0,0,22,12,264,44.0,386,8.77,17.55,12.0,1,0,12.5,35.41
11,11,Sai Sudharshan,GT,Batsman,15,15,1,486,759,54.21,156.17,6,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,8.5,151.61
12,12,Shubhman Gill,GT,Batsman,15,15,2,417,650,50.0,155.88,6,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,16.5,66.94
13,13,Josh Buttler ,GT,Wicket keeper,14,13,4,330,538,59.78,163.03,5,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,15.75,52.54
14,14,Sherfane Rutherford,GT,Batsman,13,13,2,185,291,26.45,157.3,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,2.6,46.66
15,15,Sharukh Khan,GT,Batsman,15,11,5,100,179,29.83,179.0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,4.0,20.74
16,16,Rahul Tewatia,GT,Batsman,15,12,4,59,99,12.38,167.8,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,4.0,-5.4
17,17,Rashid Khan ,GT,All Rounder,15,8,3,28,40,8.0,142.86,0,0,9,15,330,55.0,514,9.35,57.11,36.67,0,0,18.0,-28.36
18,18,Arshad Khan,GT,Bowler,9,5,3,19,23,11.5,121.05,0,0,6,9,126,21.0,217,10.33,36.17,21.0,0,0,1.3,35.24
19,19,R Sai Kishore,GT,Bowler,15,3,0,10,5,1.67,50.0,0,0,19,15,255,42.3,393,9.25,20.68,13.42,0,0,2.0,68.05
20,20,Prasidh Krishna,GT,Bowler,15,0,0,0,0,0.0,0.0,0,0,25,15,354,59.0,488,8.27,19.52,14.16,1,0,9.5,48.2
21,21,Mohd Siraj,GT,Bowler,15,0,0,0,0,0.0,0.0,0,0,16,15,342,57.0,527,9.25,32.94,21.38,1,0,12.25,10.12
22,22,Ryan Rickelton  (wk),MI,Wicket keeper,14,14,1,257,388,29.85,150.97,3,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,1.0,122.03
23,23,Rohit Sharma,MI,Batsman,15,15,1,280,418,29.86,149.29,4,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,16.3,26.3
24,24,Tilak Varma,MI,Batsman,16,13,2,248,343,31.18,138.31,2,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,8.0,33.27
25,25,Suryakumar Yadav,MI,Batsman,16,16,5,427,717,65.18,167.92,5,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,16.35,64.76
26,26,Hardik Pandya,MI,All Rounder,15,12,3,137,224,24.89,163.5,0,0,14,14,210,35.0,342,9.77,24.43,15.0,0,1,16.35,22.94
27,27,Naman Dhir,MI,Batsman,16,12,4,138,252,31.5,182.61,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,5.25,13.25
28,28,Jonny Bairstow,MI,Batsman,2,2,0,46,85,42.5,184.78,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,1.0,45.08
29,29,Mitchell Santner ,MI,All Rounder,13,8,6,33,40,20.0,121.21,0,0,10,13,237,39.3,313,7.92,31.3,23.7,0,0,2.0,42.38
30,30,Deepak Chahar,MI,Bowler,14,4,3,25,37,37.0,148.0,0,0,11,14,246,41.0,376,9.17,34.18,22.36,0,0,9.25,1.69
31,31,Trent Boult ,MI,Bowler,16,2,1,3,2,2.0,66.67,0,0,22,16,346,57.4,517,8.97,23.5,15.73,1,0,12.5,23.12
32,32,Jasprit Bumrah,MI,Bowler,12,0,1,0,0,0.0,0.0,0,0,18,12,284,47.2,316,6.68,17.56,15.78,1,0,18.0,4.56
33,33,Prabhsimran Singh,PBKS,Wicket keeper,17,17,0,342,549,32.29,160.53,4,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,4.0,115.25
34,34,Priyansh Arya,PBKS,Batsman,17,17,0,265,475,27.94,179.25,2,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,3.8,105.04
35,35,Josh Inglish ,PBKS,Batsman,11,11,2,171,278,30.89,162.57,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,2.6,62.8
36,36,Shreyash Iyer,PBKS,Batsman,17,17,5,345,604,50.33,175.07,6,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,26.75,22.87
37,37,Nehal Wadhera,PBKS,Batsman,16,15,3,253,369,30.75,145.85,2,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,4.2,62.53
38,38,Shashank Singh,PBKS,Batsman,17,14,7,228,350,50.0,153.51,3,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,5.5,58.19
39,39,Azmatullah Omarzai ,PBKS,All Rounder,9,5,1,41,57,14.25,139.02,0,0,8,8,162,27.0,279,10.33,34.88,20.25,0,0,2.4,47.65
40,40,Marco Jansen ,PBKS,All Rounder,14,8,4,63,75,18.75,119.05,0,0,16,14,283,47.1,434,9.2,27.12,17.69,0,0,7.0,35.04
41,41,Harpreet Brar,PBKS,Bowler,8,2,1,13,11,11.0,84.62,0,0,10,7,132,22.0,190,8.64,19.0,13.2,0,0,1.5,60.16
42,42,Yuzendra Chahal,PBKS,Bowler,14,0,0,0,0,0.0,0.0,0,0,16,13,270,45.0,430,9.56,26.88,16.88,2,0,18.0,4.48
43,43,Arshdeep Singh,PBKS,Bowler,17,2,1,6,2,2.0,33.33,0,0,21,16,350,58.2,518,8.88,24.67,16.67,0,0,18.0,-9.23
