,Player,Team,Role,Matches played,Innings ,Not outs,Balls played,Runs scored,Batting Avg.,Batting Strike Rate,50+ Scores,100+ Scores,Wickets,Bowling innings,Balls bowled,Overs Bowled,Runs Conceded,BOWLING Economy,Bowling Avg.,Bowling Strike rate,4W,5W
0,Virat Kohli,RCB,Batsman,15,15,3,454,657,54.75,144.7136564,6,0,0,0,0,0,0,,,,0,0
1,Phil Salt ,RCB,Batsman,13,13,1,229,403,33.58333333,175.9825328,8,0,0,0,0,0,0,,,,0,0
2,Mayank Agrawal,RCB,Batsman,4,4,1,64,95,31.66666667,148.4375,4,0,0,0,0,0,0,,,,0,0
3,Rajat Patidar©,RCB,Batsman,15,14,1,217,312,24,143.7788018,0,0,0,0,0,0,0,,,,0,0
4,Tim David,RCB,Batsman,12,9,6,101,187,62.33333333,185.1485149,2,0,0,0,0,0,0,,,,0,0
5,Jitesh Sharma,RCB,Wicket keeper,15,11,4,148,261,37.28571429,176.3513514,1,0,0,0,0,0,0,,,,0,0
6,Romario Shepherd,RCB,All Rounder,8,3,1,24,70,35,291.6666667,1,0,6,8,84,14,151,10.78571429,25.16666667,14,0,0
7,Krunal Pandya,RCB,All Rounder,15,7,1,86,109,18.16666667,126.744186,1,0,17,15,276,46,379,8.239130435,22.29411765,16.23529412,1,0
8,Bhuvneshwar Kumar,RCB,Bowler,14,6,3,25,14,4.666666667,56,1,0,17,14,312,52,483,9.288461538,28.41176471,18.35294118,0,0
9,Yash Dayal,RCB,Bowler,15,3,1,8,4,2,50,0,0,13,15,294,49,470,9.591836735,36.15384615,22.61538462,0,0
10,Hazlewood,RCB,Bowler,12,0,0,0,0,,,0,0,22,12,264,44,386,8.772727273,17.54545455,12,1,0
11,Sai Sudharshan,GT,Batsman,15,15,1,486,759,54.21428571,156.1728395,6,1,0,0,0,0,0,,,,0,0
12,Shubhman Gill,GT,Batsman,15,15,2,417,650,50,155.8752998,6,0,0,0,0,0,0,,,,0,0
13,Josh Buttler ,GT,Wicket keeper,14,13,4,330,538,59.77777778,163.030303,5,0,0,0,0,0,0,,,,0,0
14,Sherfane Rutherford,GT,Batsman,13,13,2,185,291,26.45454545,157.2972973,0,0,0,0,0,0,0,,,,0,0
15,Sharukh Khan,GT,Batsman,15,11,5,100,179,29.83333333,179,1,0,0,0,0,0,0,,,,0,0
16,Rahul Tewatia,GT,Batsman,15,12,4,59,99,12.375,167.7966102,0,0,0,0,0,0,0,,,,0,0
17,Rashid Khan ,GT,All Rounder,15,8,3,28,40,8,142.8571429,0,0,9,15,330,55,514,9.345454545,57.11111111,36.66666667,0,0
18,Arshad Khan,GT,Bowler,9,5,3,19,23,11.5,121.0526316,0,0,6,9,126,21,217,10.33333333,36.16666667,21,0,0
19,R Sai Kishore,GT,Bowler,15,3,0,10,5,1.666666667,50,0,0,19,15,255,42.3,393,9.247058824,20.68421053,13.42105263,0,0
20,Prasidh Krishna,GT,Bowler,15,0,0,0,0,,,0,0,25,15,354,59,488,8.271186441,19.52,14.16,1,0
21,Mohd Siraj,GT,Bowler,15,0,0,0,0,,,0,0,16,15,342,57,527,9.245614035,32.9375,21.375,1,0
22,Ryan Rickelton  (wk),MI,Wicket keeper,14,14,1,257,388,29.84615385,150.9727626,3,0,0,0,0,0,0,,,,0,0
